tract,pop
3088200,6740
3088400,5236
3088600,4427
3088800,3923
3089000,6319
3089200,3651
3089400,3430
3089600,3546
3089800,2089
3090000,5508
3090200,3451
3090600,4581
3090800,3990
3091000,5610
3091200,6814
3091600,4325
3091800,2804
3092000,3154
3092200,2691
3092400,2656
3092800,2656
3093000,2547
3093200,1142
3093400,2401
3093600,1628
3093800,2374
3094401,3202
3094402,2886
3094600,1830
3095000,2906
3095400,4607
3095600,4042
3095800,3456
3096000,0
3096200,1717
3096400,2361
3096600,2164
3096800,1471
3097000,2105
3097400,2724
3098200,4305
3098400,1978
3098600,2862
3098800,3054
3099000,1422
3099200,1833
3099400,1978
3099600,3631
3099800,3784
3100400,2567
3100600,2489
3100800,2124
3101000,2318
3101200,1932
3101400,2160
3101600,1464
3101800,1851
3102000,1922
3102200,2075
3102400,2123
3102600,2771
3102800,1579
3103400,3918
3105801,6928
3105804,6426
3107000,322
3107800,3849
3109800,1917
3110400,4358
3110600,4311
3111000,3216
3111600,3484
3111800,3053
3112000,3155
3112200,3371
3112400,3416
3112600,3783
3112800,3822
3113000,3891
3113200,1937
3113400,2838
3114201,1578
3114202,2766
3114400,2403
3114600,2998
3115000,2595
3115200,3094
3115600,4315
3115800,2983
3116000,2543
3116200,2157
3116400,2921
3116600,2907
3116800,2057
3117000,1880
3117201,2713
3117202,3907
3117400,4329
3117601,2750
3117602,3313
3117800,1717
3118000,6
3118201,3002
3118202,3083
3118400,5420
3118600,2969
3118800,4651
3119000,2127
3119200,3013
3119400,3914
3119600,5403
3119800,3426
3120000,2148
3120200,1900
3120800,8938
3121000,4035
3121400,4351
3122000,5495
3123700,6008
3150200,2540
3152200,3317
3990100,0
1000100,2
1000201,3058
1000202,7316
1000500,0
1000600,11367
1000700,8109
1000800,10290
1000900,731
1001001,1434
1001002,6547
1001200,3397
1001300,4479
1001401,3005
1001402,2782
1001501,5518
1001502,7476
1001600,8478
1001800,8660
1002000,4917
1002100,6040
1002201,6398
1002202,2189
1002400,5434
1002500,4869
1002601,3772
1002602,4227
1002700,1264
1002800,7114
1002900,6398
1003001,4492
1003002,3106
1003100,2550
1003200,8234
1003300,5156
1003400,6612
1003601,3393
1003602,3151
1003700,2447
1003800,9237
1003900,5860
1004000,8651
1004100,7817
1004200,5145
1004300,4270
1004400,16538
1004500,1136
1004700,2524
1004800,7229
1004900,4942
1005000,5055
1005200,3408
1005400,4536
1005501,4204
1005502,2257
1005600,3322
1005700,2781
1005800,3512
1005900,5401
1006000,4511
1006100,5224
1006200,4437
1006300,6380
1006400,8090
1006500,6202
1006600,11740
1006700,5461
1006800,7614
1006900,2759
1007000,8871
1007100,5429
1007200,8664
1007300,6215
1007400,4319
1007500,4159
1007600,2277
1007700,5966
1007800,8391
1007900,4442
1008000,5377
1008100,8047
1008200,3262
1008300,4092
1008400,1595
1008601,2618
1008602,0
1008603,4799
1008700,6338
1008800,7026
1008900,5708
1009000,7883
1009100,6304
1009200,1806
1009300,8780
1009400,73
1009500,3040
1009600,155
1009700,5224
1009800,7316
1009900,1945
1010000,1992
1010100,1116
1010200,230
1010300,2058
1010400,966
1010601,7351
1010602,4875
1010800,9039
1010900,183
1011000,7169
1011100,3512
1011201,992
1011202,441
1011203,1401
1011300,117
1011401,1412
1011402,2397
1011500,2303
1011600,3543
1011700,3364
1011800,8767
1011900,1120
1012000,3971
1012100,8554
1012200,3633
1012400,10218
1012500,2719
1012600,12774
1012700,6928
1012800,6270
1012900,6038
1013000,4195
1013100,2816
1013200,10590
1013300,6208
1013400,11174
1013500,6596
1013600,15344
1013700,6471
1013800,12444
1013900,9257
1014000,7813
1014200,4462
1014300,25
1014401,4864
1014402,6743
1014500,5542
1014601,4274
1014602,7904
1014700,2755
1014801,2863
1014802,7066
1014900,5842
1015001,2294
1015002,5437
1015100,8306
1015200,7275
1015300,9320
1015400,13749
1015500,9350
1015601,5345
1015602,2298
1015700,10751
1015801,5650
1015802,3346
1015900,9623
1016001,3744
1016002,3131
1016100,6437
1016200,9308
1016300,6624
1016400,6127
1016500,6402
1016600,7317
1016700,6564
1016800,5675
1016900,8108
1017000,7855
1017100,8989
1017200,5504
1017300,8939
1017401,5248
1017402,2093
1017500,10820
1017700,9151
1017800,3912
1017900,9293
1018000,7476
1018100,8866
1018200,6768
1018300,8667
1018400,7835
1018500,4190
1018600,5701
1018700,8974
1018800,6008
1018900,11547
1019000,3083
1019100,8807
1019200,3584
1019300,9009
1019400,6558
1019500,8197
1019600,3931
1019701,641
1019702,2090
1019800,1914
1019900,10064
1020000,2581
1020101,1731
1020102,3865
1020300,3633
1020500,5322
1020600,2942
1020701,3329
1020800,4591
1020901,3673
1021000,6637
1021100,10330
1021200,4412
1021303,5619
1021400,3001
1021500,3068
1021600,7556
1021703,6
1021800,6617
1021900,6023
1022000,5370
1022102,2175
1022200,2644
1022301,7917
1022302,3385
1022400,6427
1022500,10149
1022600,3778
1022700,4864
1022800,5248
1022900,8300
1023000,8106
1023100,5865
1023200,7980
1023300,6527
1023400,4465
1023501,6004
1023502,1819
1023600,6404
1023700,6811
1023801,9723
1023802,1938
1023900,2371
1024000,1648
1024100,7642
1024200,3396
1024301,3946
1024302,7370
1024500,14934
1024700,7074
1024900,1101
1025100,2526
1025300,11236
1025500,5771
1025700,3876
1025900,3496
1026100,12087
1026300,8729
1026500,7021
1026700,2173
1026900,8428
1027100,8196
1027300,6370
1027500,2846
1027700,7086
1027900,10292
1028100,2867
1028300,7627
1028500,7216
1028700,4035
1029100,11288
1029300,9033
1029500,6941
1029700,161
1029900,3834
1030300,3753
1030700,3434
1030900,8463
1031100,2
1031703,7709
1031704,5677
1031900,11
4000100,4949
4000200,2829
4000400,4413
4000600,3729
4000700,4790
4000800,3360
4001000,3502
4001200,3871
4001400,3683
4001600,2831
4001800,2931
4001900,1076
4002000,1797
4002200,2077
4002400,2145
4002500,7571
4002600,2055
4002800,3033
4003000,1399
4003100,1388
4003200,1504
4003300,2474
4003400,2201
4003600,3295
4003700,0
4003800,2287
4003900,1592
4004001,2134
4004002,1270
4004200,4120
4004300,2437
4004401,3500
4004500,2975
4004700,3984
4005000,29
4005100,2231
4005200,2751
4005300,5340
4005400,5257
4005500,1067
4005700,4321
4005800,5414
4005900,4169
4006100,5644
4006201,5128
4006202,6253
4006300,5949
4006501,3676
4006502,3853
4006900,4611
4007100,3963
4007300,4231
4007500,4116
4007700,1478
4007900,3493
4008100,1188
4008300,2950
4008500,1270
4008600,2811
4008700,4582
4008800,3095
4009100,2796
4009400,2834
4009500,2289
4009600,3135
4009700,3580
4009800,2688
4009900,3
4010000,3571
4010100,2552
4010200,2677
4010300,3934
4010400,3147
4010500,4244
4010600,3427
4010701,0
4010800,2980
4011000,3075
4011100,3050
4011200,2358
4011300,4234
4011400,1330
4011500,2325
4011600,2178
4011700,3848
4011800,2628
4011900,1701
4012000,2487
4012100,2064
4012200,2971
